target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_size
E,0.3333333333333333,1.0,0.5,2,4,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.3333333333333333,1.0,0.5,2,4,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
F,0.3333333333333333,1.0,0.5,2,4,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,6
H,0.3333333333333333,1.0,0.5,2,4,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
D,0.3333333333333333,1.0,0.5,2,4,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
A,0.3333333333333333,1.0,0.5,2,4,0,1,10,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
F,0.3333333333333333,1.0,0.5,2,4,0,1,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
D,0.3333333333333333,1.0,0.5,2,4,0,1,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,11,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
F,0.3333333333333333,1.0,0.5,2,4,0,1,12,2,SynthNonlin/7ts2h,data_0.csv,0.0,6
C,0.14285714285714285,1.0,0.25,1,6,0,0,12,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,2,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
C,0.14285714285714285,1.0,0.25,1,6,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,2,SynthNonlin/7ts2h,data_0.csv,0.0,7
E,0.0,0.0,,0,1,2,4,1,5,SynthNonlin/7ts2h,data_0.csv,88.41827940940857,1
B,1.0,0.5,0.6666666666666666,1,0,1,5,1,5,SynthNonlin/7ts2h,data_0.csv,87.08167910575867,1
F,1.0,0.5,0.6666666666666666,1,0,1,5,1,5,SynthNonlin/7ts2h,data_0.csv,86.54602479934692,1
C,1.0,1.0,1.0,1,0,0,6,1,5,SynthNonlin/7ts2h,data_0.csv,83.89197421073914,1
H,1.0,0.5,0.6666666666666666,1,0,1,5,1,5,SynthNonlin/7ts2h,data_0.csv,86.06198787689209,1
D,0.0,0.0,,0,1,2,4,1,5,SynthNonlin/7ts2h,data_0.csv,79.37561845779419,1
A,1.0,0.5,0.6666666666666666,1,0,1,5,1,5,SynthNonlin/7ts2h,data_0.csv,85.57211565971375,1
E,0.0,0.0,,0,2,2,3,2,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
B,0.5,0.5,0.5,1,1,1,4,2,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
F,1.0,1.0,1.0,2,0,0,5,2,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
C,1.0,1.0,1.0,1,0,0,6,2,5,SynthNonlin/7ts2h,data_0.csv,0.0,1
H,0.5,0.5,0.5,1,1,1,4,2,5,SynthNonlin/7ts2h,data_0.csv,0.000997781753540039,2
D,0.5,0.5,0.5,1,1,1,4,2,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
A,0.5,0.5,0.5,1,1,1,4,2,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
E,0.3333333333333333,0.5,0.4,1,2,1,3,3,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
B,0.5,0.5,0.5,1,1,1,4,3,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
F,0.6666666666666666,1.0,0.8,2,1,0,4,3,5,SynthNonlin/7ts2h,data_0.csv,0.0009970664978027344,3
C,1.0,1.0,1.0,1,0,0,6,3,5,SynthNonlin/7ts2h,data_0.csv,0.0,1
H,0.6666666666666666,1.0,0.8,2,1,0,4,3,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
D,0.5,0.5,0.5,1,1,1,4,3,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
A,0.5,0.5,0.5,1,1,1,4,3,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
E,0.25,0.5,0.3333333333333333,1,3,1,2,4,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
B,0.5,0.5,0.5,1,1,1,4,4,5,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,2
F,0.5,1.0,0.6666666666666666,2,2,0,3,4,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
C,0.5,1.0,0.6666666666666666,1,1,0,5,4,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
H,0.6666666666666666,1.0,0.8,2,1,0,4,4,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
D,0.5,0.5,0.5,1,1,1,4,4,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
A,0.5,0.5,0.5,1,1,1,4,4,5,SynthNonlin/7ts2h,data_0.csv,0.0009970664978027344,2
E,0.25,0.5,0.3333333333333333,1,3,1,2,5,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
B,0.5,0.5,0.5,1,1,1,4,5,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
F,0.5,1.0,0.6666666666666666,2,2,0,3,5,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
C,0.3333333333333333,1.0,0.5,1,2,0,4,5,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
H,0.6666666666666666,1.0,0.8,2,1,0,4,5,5,SynthNonlin/7ts2h,data_0.csv,0.0009970664978027344,3
D,0.6666666666666666,1.0,0.8,2,1,0,4,5,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
A,0.5,0.5,0.5,1,1,1,4,5,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
E,0.4,1.0,0.5714285714285715,2,3,0,2,6,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
B,0.5,0.5,0.5,1,1,1,4,6,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
F,0.5,1.0,0.6666666666666666,2,2,0,3,6,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
C,0.3333333333333333,1.0,0.5,1,2,0,4,6,5,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,3
H,0.6666666666666666,1.0,0.8,2,1,0,4,6,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
D,0.6666666666666666,1.0,0.8,2,1,0,4,6,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
A,0.5,0.5,0.5,1,1,1,4,6,5,SynthNonlin/7ts2h,data_0.csv,0.0,2
E,0.4,1.0,0.5714285714285715,2,3,0,2,7,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
B,0.3333333333333333,0.5,0.4,1,2,1,3,7,5,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,3
F,0.4,1.0,0.5714285714285715,2,3,0,2,7,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
C,0.25,1.0,0.4,1,3,0,3,7,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
H,0.5,1.0,0.6666666666666666,2,2,0,3,7,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
D,0.5,1.0,0.6666666666666666,2,2,0,3,7,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
A,0.6666666666666666,1.0,0.8,2,1,0,4,7,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
E,0.3333333333333333,1.0,0.5,2,4,0,1,8,5,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,6
B,0.25,0.5,0.3333333333333333,1,3,1,2,8,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
F,0.4,1.0,0.5714285714285715,2,3,0,2,8,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
