target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_SIZE
5,0.7142857142857143,0.8333333333333334,0.7692307692307692,5,2,1,2,7,1,VARSmall/returns,data_0.csv,0.00014925003051757812,7
6,0.7142857142857143,0.8333333333333334,0.7692307692307692,5,2,1,2,7,1,VARSmall/returns,data_0.csv,0.0001876354217529297,7
7,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2,1,7,1,VARSmall/returns,data_0.csv,0.00015020370483398438,7
8,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2,1,7,1,VARSmall/returns,data_0.csv,0.00016450881958007812,7
9,0.42857142857142855,0.5,0.4615384615384615,3,4,3,0,7,1,VARSmall/returns,data_0.csv,0.00016427040100097656,7
0,0.625,0.8333333333333334,0.7142857142857143,5,3,1,1,8,1,VARSmall/returns,data_0.csv,0.0001780986785888672,8
1,0.5,0.6666666666666666,0.5714285714285715,4,4,2,0,8,1,VARSmall/returns,data_0.csv,0.0001513957977294922,8
2,0.75,1.0,0.8571428571428571,6,2,0,2,8,1,VARSmall/returns,data_0.csv,0.00015211105346679688,8
3,0.625,0.8333333333333334,0.7142857142857143,5,3,1,1,8,1,VARSmall/returns,data_0.csv,0.0001506805419921875,8
4,0.75,1.0,0.8571428571428571,6,2,0,2,8,1,VARSmall/returns,data_0.csv,0.00015544891357421875,8
5,0.75,1.0,0.8571428571428571,6,2,0,2,8,1,VARSmall/returns,data_0.csv,0.00014829635620117188,8
6,0.625,0.8333333333333334,0.7142857142857143,5,3,1,1,8,1,VARSmall/returns,data_0.csv,0.0001544952392578125,8
7,0.5,0.6666666666666666,0.5714285714285715,4,4,2,0,8,1,VARSmall/returns,data_0.csv,0.0001499652862548828,8
8,0.625,0.8333333333333334,0.7142857142857143,5,3,1,1,8,1,VARSmall/returns,data_0.csv,0.00014972686767578125,8
9,0.5,0.6666666666666666,0.5714285714285715,4,4,2,0,8,1,VARSmall/returns,data_0.csv,0.00015115737915039062,8
0,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,0,9,1,VARSmall/returns,data_0.csv,0.00017142295837402344,9
1,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,0,9,1,VARSmall/returns,data_0.csv,0.00016808509826660156,9
2,0.6666666666666666,1.0,0.8,6,3,0,1,9,1,VARSmall/returns,data_0.csv,0.00016808509826660156,9
3,0.6666666666666666,1.0,0.8,6,3,0,1,9,1,VARSmall/returns,data_0.csv,0.00016427040100097656,9
4,0.6666666666666666,1.0,0.8,6,3,0,1,9,1,VARSmall/returns,data_0.csv,0.00015234947204589844,9
5,0.6666666666666666,1.0,0.8,6,3,0,1,9,1,VARSmall/returns,data_0.csv,0.00015091896057128906,9
6,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,0,9,1,VARSmall/returns,data_0.csv,0.00017690658569335938,9
7,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,0,9,1,VARSmall/returns,data_0.csv,0.00015425682067871094,9
8,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,0,9,1,VARSmall/returns,data_0.csv,0.00015211105346679688,9
9,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,0,9,1,VARSmall/returns,data_0.csv,0.00015807151794433594,9
0,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,28.634106397628784,1
1,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,27.574509859085083,1
2,0.0,0.0,,0,1,6,3,1,2,VARSmall/returns,data_0.csv,28.515198707580566,1
3,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,27.42161726951599,1
4,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,27.58639693260193,1
5,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,28.128149032592773,1
6,0.0,0.0,,0,1,6,3,1,2,VARSmall/returns,data_0.csv,28.8821804523468,1
7,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,28.168915271759033,1
8,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,28.32293462753296,1
9,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,2,VARSmall/returns,data_0.csv,27.992019653320312,1
0,0.5,0.16666666666666666,0.25,1,1,5,3,2,2,VARSmall/returns,data_0.csv,0.00027108192443847656,2
1,1.0,0.3333333333333333,0.5,2,0,4,4,2,2,VARSmall/returns,data_0.csv,0.00022673606872558594,2
2,0.5,0.16666666666666666,0.25,1,1,5,3,2,2,VARSmall/returns,data_0.csv,0.00022864341735839844,2
